Month,Stock,Category,Return(%)
2023-11,TRENT,Gainer,29.35
2023-11,BPCL,Gainer,24.75
2023-11,HEROMOTOCO,Gainer,23.66
2023-11,EICHERMOT,Gainer,18.25
2023-11,APOLLOHOSP,Gainer,14.71
2023-11,BAJFINANCE,Loser,-4.95
2023-11,SBIN,Loser,-0.14
2023-11,NESTLEIND,Loser,0.01
2023-11,KOTAKBANK,Loser,0.92
2023-11,CIPLA,Loser,1.02
2023-12,BEL,Gainer,26.25
2023-12,ADANIPORTS,Gainer,24.09
2023-12,ADANIENT,Gainer,20.79
2023-12,HINDALCO,Gainer,19.24
2023-12,NTPC,Gainer,19.08
2023-12,HDFCLIFE,Loser,-6.38
2023-12,MARUTI,Loser,-2.89
2023-12,SBILIFE,Loser,-0.18
2023-12,DRREDDY,Loser,0.17
2023-12,BAJAJFINSV,Loser,0.73
2024-01,ONGC,Gainer,23.02
2024-01,SHRIRAMFIN,Gainer,20.14
2024-01,ADANIPORTS,Gainer,17.89
2024-01,BHARTIARTL,Gainer,13.42
2024-01,TATAMOTORS,Gainer,13.37
2024-01,HDFCBANK,Loser,-14.43
2024-01,ASIANPAINT,Loser,-13.07
2024-01,HDFCLIFE,Loser,-10.84
2024-01,EICHERMOT,Loser,-7.33
2024-01,JSWSTEEL,Loser,-7.0
2024-02,TRENT,Gainer,25.75
2024-02,BPCL,Gainer,20.2
2024-02,M&M,Gainer,17.01
2024-02,SBIN,Gainer,16.8
2024-02,SUNPHARMA,Gainer,11.24
2024-02,HINDALCO,Loser,-13.03
2024-02,ITC,Loser,-7.98
2024-02,KOTAKBANK,Loser,-7.44
2024-02,BAJFINANCE,Loser,-5.36
2024-02,ASIANPAINT,Loser,-4.6
2024-03,BAJAJ-AUTO,Gainer,15.66
2024-03,MARUTI,Gainer,11.62
2024-03,BAJFINANCE,Gainer,11.55
2024-03,HINDALCO,Gainer,11.19
2024-03,TATASTEEL,Gainer,10.65
2024-03,INFY,Loser,-10.51
2024-03,TATACONSUM,Loser,-7.89
2024-03,WIPRO,Loser,-7.42
2024-03,HCLTECH,Loser,-7.23
2024-03,HINDUNILVR,Loser,-6.13
2024-04,BEL,Gainer,16.0
2024-04,HINDALCO,Gainer,15.02
2024-04,EICHERMOT,Gainer,14.38
2024-04,M&M,Gainer,12.23
2024-04,TRENT,Gainer,11.7
2024-04,HCLTECH,Loser,-11.46
2024-04,KOTAKBANK,Loser,-9.05
2024-04,HDFCLIFE,Loser,-7.85
2024-04,SUNPHARMA,Loser,-7.31
2024-04,CIPLA,Loser,-6.48
2024-05,BEL,Gainer,26.61
2024-05,M&M,Gainer,16.23
2024-05,HEROMOTOCO,Gainer,12.69
2024-05,ADANIENT,Gainer,11.68
2024-05,ADANIPORTS,Gainer,8.49
2024-05,TITAN,Loser,-9.68
2024-05,TATAMOTORS,Loser,-8.42
2024-05,SHRIRAMFIN,Loser,-7.75
2024-05,DRREDDY,Loser,-6.65
2024-05,ONGC,Loser,-6.54
2024-06,SHRIRAMFIN,Gainer,23.68
2024-06,TRENT,Gainer,20.19
2024-06,ULTRACEMCO,Gainer,17.67
2024-06,WIPRO,Gainer,17.49
2024-06,TECHM,Gainer,16.44
2024-06,ADANIENT,Loser,-6.87
2024-06,COALINDIA,Loser,-3.67
2024-06,LT,Loser,-3.29
2024-06,BPCL,Loser,-3.17
2024-06,MARUTI,Loser,-2.95
2024-07,ONGC,Gainer,21.88
2024-07,HDFCLIFE,Gainer,20.24
2024-07,INFY,Gainer,19.24
2024-07,SBILIFE,Gainer,17.54
2024-07,TATAMOTORS,Gainer,16.86
2024-07,AXISBANK,Loser,-7.84
2024-07,TATASTEEL,Loser,-4.99
2024-07,BAJFINANCE,Loser,-4.34
2024-07,HDFCBANK,Loser,-4.04
2024-07,RELIANCE,Loser,-3.83
2024-08,TRENT,Gainer,22.6
2024-08,BAJAJ-AUTO,Gainer,12.7
2024-08,SHRIRAMFIN,Gainer,9.3
2024-08,BAJAJFINSV,Gainer,7.96
2024-08,CIPLA,Gainer,7.16
2024-08,TATASTEEL,Loser,-7.6
2024-08,SBIN,Loser,-6.51
2024-08,ADANIPORTS,Loser,-5.61
2024-08,MARUTI,Loser,-5.43
2024-08,BEL,Loser,-5.3
2024-09,BAJAJ-AUTO,Gainer,13.35
2024-09,SHRIRAMFIN,Gainer,11.62
2024-09,BAJAJFINSV,Gainer,10.68
2024-09,TATASTEEL,Gainer,10.34
2024-09,M&M,Gainer,10.32
2024-09,TATAMOTORS,Loser,-12.3
2024-09,ONGC,Loser,-10.02
2024-09,TCS,Loser,-6.26
2024-09,BEL,Loser,-4.74
2024-09,DRREDDY,Loser,-3.98
2024-10,SBIN,Gainer,4.1
2024-10,TECHM,Gainer,1.99
2024-10,WIPRO,Gainer,1.91
2024-10,ICICIBANK,Gainer,1.51
2024-10,HDFCLIFE,Gainer,0.3
2024-10,INDUSINDBK,Loser,-27.08
2024-10,BAJAJ-AUTO,Loser,-20.33
2024-10,MARUTI,Loser,-16.33
2024-10,TATACONSUM,Loser,-16.24
2024-10,BPCL,Loser,-16.0
2024-11,M&M,Gainer,10.42
2024-11,TECHM,Gainer,8.63
2024-11,INFY,Gainer,8.25
2024-11,HCLTECH,Gainer,7.49
2024-11,TCS,Gainer,6.96
2024-11,ADANIENT,Loser,-24.4
2024-11,ADANIPORTS,Loser,-17.38
2024-11,ASIANPAINT,Loser,-15.79
2024-11,BRITANNIA,Loser,-15.34
2024-11,NTPC,Loser,-10.46
